,1709
POINT (12.573694901639414 55.691957869593224),7
POINT (12.573814303267941 55.70088649136198),109
POINT (12.57385277440352 55.66360292215449),108
POINT (12.573869555391 55.67191450961366),107
POINT (12.573919154847118 55.675856248731215),5
POINT (12.574004713638281 55.68161508733122),47
POINT (12.574029847418354 55.68334457893451),39
POINT (12.574172618640715 55.677031557837125),70
POINT (12.574197509321765 55.67736961225432),16
POINT (12.574217489754794 55.70870347716824),18
POINT (12.574284501413072 55.67132348889109),36
POINT (12.57431486618512 55.67937168928124),13
POINT (12.57438204043561 55.67795781413715),38
POINT (12.574435521978804 55.672273781676786),72
POINT (12.574462139363877 55.683771457701155),63
POINT (12.574467128944065 55.70770186239114),22
POINT (12.57449214651313 55.70840647703944),22
POINT (12.574534657024524 55.665036606084804),57
POINT (12.574607396872716 55.697989787623136),92
POINT (12.57461023512256 55.69660971020838),54
POINT (12.574635545213816 55.70484670759201),113
POINT (12.574644546826395 55.692517897651115),9
POINT (12.574678929459644 55.67307445579853),23
POINT (12.574679576506215 55.681255475067154),39
POINT (12.574899155437373 55.673682036897496),52
POINT (12.574913014010715 55.663353162551935),42
POINT (12.574917681640402 55.67999818624733),37
POINT (12.574961962395294 55.67240381332218),23
POINT (12.575049165144163 55.67114861389061),23
POINT (12.575069021658985 55.7002086220418),13
POINT (12.575120333810322 55.677301205368465),25
POINT (12.57520270387819 55.69717535082352),27
POINT (12.575249630381025 55.69965704936432),20
POINT (12.575277673450646 55.6835114889162),48
POINT (12.57529776970152 55.69857113855871),11
POINT (12.575303858743178 55.7072145031273),9
POINT (12.575320368726379 55.665581712427354),49
POINT (12.575327296239 55.708210244348344),23
POINT (12.575328797911673 55.67432516787727),62
POINT (12.575330212662102 55.69310467879765),4
POINT (12.575333402234167 55.67916294054072),41
POINT (12.575365552173226 55.677907527713394),63
POINT (12.575412487164837 55.684191397100754),4
POINT (12.575414192600979 55.67118528440272),33
POINT (12.575500504850705 55.70895152932615),25
POINT (12.575551355533023 55.67306535130842),20
POINT (12.57565405734598 55.690673529546935),22
POINT (12.575690990045533 55.66282249215511),50
POINT (12.57572309197656 55.69856381944027),58
POINT (12.57572677152162 55.69112078665832),25
POINT (12.575806091077519 55.6652565637882),32
POINT (12.575868448805698 55.69372423704128),9
POINT (12.575979003542017 55.690979176683044),20
POINT (12.57602636007959 55.707804242791),7
POINT (12.576045925728433 55.706807126537974),27
POINT (12.57605630587315 55.70498844987561),85
POINT (12.576070742885722 55.67615883769228),105
POINT (12.576074189814413 55.676767574100765),69
POINT (12.576104735216793 55.67248582685895),6
POINT (12.576114008591729 55.671336878924414),49
POINT (12.576135109812181 55.68384073195166),15
POINT (12.576163667106394 55.6722766280626),8
POINT (12.576173815308469 55.67514837973006),20
POINT (12.576192674310505 55.68992901911671),48
POINT (12.576200863211415 55.70871368000427),9
POINT (12.576228903052868 55.66627506134812),117
POINT (12.576278524775692 55.681963872309716),39
POINT (12.576278609578578 55.66476170289374),38
POINT (12.57638531209379 55.68313640500777),96
POINT (12.576475109061926 55.692881583481785),6
POINT (12.57649465809367 55.67282960921089),22
POINT (12.57651909680683 55.66551894964211),110
POINT (12.576572300102573 55.678168122591366),25
POINT (12.576573444026193 55.66243453438291),123
POINT (12.576632438695254 55.69767053001478),41
POINT (12.576662101567482 55.67711871420737),8
POINT (12.576697375364713 55.66417780091721),52
POINT (12.57679511963204 55.691878669243636),23
POINT (12.576819361186757 55.707235165614506),12
POINT (12.57686840037085 55.708311951532494),27
POINT (12.576872630719418 55.66349038135323),45
POINT (12.576918000157256 55.67448291804719),40
POINT (12.576929187376072 55.66597776113312),69
POINT (12.576955490397948 55.690032958247194),17
POINT (12.576970971460229 55.676732879338815),136
POINT (12.577000487107062 55.6803680560109),19
POINT (12.577036134214204 55.666578103384005),50
POINT (12.5770417855097 55.67777718824921),10
POINT (12.577074864478636 55.67954292452081),92
POINT (12.577228174864716 55.70590320787213),61
POINT (12.57722998922777 55.70701587122206),29
POINT (12.577234718958621 55.70771969166932),55
POINT (12.577239406730325 55.683716398239824),70
POINT (12.577240199820775 55.70175378235317),38
POINT (12.577241511930154 55.70370695139028),50
POINT (12.577242731417229 55.70277054191179),41
POINT (12.577268014031599 55.664636785184335),47
POINT (12.577312188133583 55.70055220255465),110
POINT (12.57734982056684 55.698175091443844),34
POINT (12.577369219791885 55.66193525384624),56
POINT (12.57744146652769 55.68271844759653),105
POINT (12.577480937166694 55.66530594169293),19
POINT (12.577576897080236 55.70536456878713),58
POINT (12.577583408127582 55.70623868157238),46
POINT (12.57758377998925 55.707445501204226),65
POINT (12.577589386337513 55.708076436985735),21
POINT (12.577600421154084 55.70118126427168),126
POINT (12.577601129793328 55.69483441915578),20
POINT (12.57761311380961 55.70314516526295),105
POINT (12.577618340557269 55.700387335538295),89
POINT (12.577622560160467 55.691334546249614),63
POINT (12.577670627239671 55.69045434549454),22
POINT (12.57767612347071 55.702070083687275),12
POINT (12.577714173194247 55.69423178409209),18
POINT (12.577743555901538 55.673840222874),44
POINT (12.577783831036674 55.66291675411014),12
POINT (12.577790076852661 55.6674907733619),44
POINT (12.577841744709872 55.666808138288005),63
POINT (12.577844021649545 55.69349668642967),11
POINT (12.57789413913083 55.66635569052938),26
POINT (12.577899921564791 55.67156814273024),45
POINT (12.577946991565804 55.680126901133285),28
POINT (12.578085654324148 55.665661066187134),39
POINT (12.578106663887585 55.70790867171329),21
POINT (12.578130821689708 55.69345260731953),11
POINT (12.57813284102377 55.69204297711394),19
POINT (12.578205688872098 55.70203409380874),23
POINT (12.57822265152393 55.67399130305309),23
POINT (12.578262869019696 55.70687286422797),32
POINT (12.578306212885487 55.70166432778562),23
POINT (12.57831389693614 55.665277773483524),12
POINT (12.57833899209813 55.698240159753865),33
POINT (12.578379210233694 55.70591705852251),17
POINT (12.578384262585688 55.66789817061366),21
POINT (12.578409708017533 55.66216948527847),39
POINT (12.57844111444718 55.7001840223967),16
POINT (12.578448865125734 55.66475096904864),23
POINT (12.578472277790654 55.66717992427096),16
POINT (12.578476585563648 55.70451383888991),42
POINT (12.578485704861768 55.70852538678607),23
POINT (12.578492487363315 55.68102377499769),3
POINT (12.578497520287257 55.705042056548436),29
POINT (12.578509208312356 55.66425580976014),30
POINT (12.57851981268557 55.66594718041275),53
POINT (12.578587689786453 55.69440456218776),19
POINT (12.578601566397468 55.66311806045504),22
POINT (12.578605135815025 55.70313470698762),7
POINT (12.578616266642205 55.7000907483334),67
POINT (12.578620372636186 55.68235636709391),145
POINT (12.578622862268853 55.67707602629267),66
POINT (12.57863448249392 55.66574567491101),39
POINT (12.578676465101445 55.66701287777492),15
POINT (12.578699435209058 55.673041097337816),23
POINT (12.578707167960735 55.70560549309209),20
POINT (12.578718188411365 55.69540211745882),19
POINT (12.578718906100312 55.665251564689555),53
POINT (12.578720888304055 55.663990399302314),11
POINT (12.578817310820734 55.67346806759192),40
POINT (12.578876860358012 55.67845274433906),4
POINT (12.578914885720053 55.70352311503169),28
POINT (12.578917473824776 55.67465421704284),19
POINT (12.57892525818603 55.69972990077918),31
POINT (12.578929591534406 55.69092019887587),21
POINT (12.578969616697744 55.66348543973808),14
POINT (12.578986226249203 55.69883929580931),21
POINT (12.578992958225045 55.69177916423252),26
POINT (12.579008631369685 55.692449610494364),30
POINT (12.579059321048225 55.69453132530515),35
POINT (12.579202291398113 55.70609866002142),43
POINT (12.579218072161162 55.66851152758945),92
POINT (12.57924132938403 55.70270558036569),34
POINT (12.579261340344653 55.66773673627662),57
POINT (12.579279540089559 55.70151813085212),11
POINT (12.579303037286527 55.70671305686621),25
POINT (12.579307398641689 55.681653478944035),90
POINT (12.579358608886922 55.69522576557208),18
POINT (12.579365616968174 55.66245722618786),7
POINT (12.579382077059913 55.708043207690444),25
POINT (12.579396943566179 55.680707836712614),9
POINT (12.579455002850676 55.683140817612646),47
POINT (12.57946922746591 55.67292615772597),49
POINT (12.57947721178591 55.70074149037742),47
POINT (12.579518692428934 55.69835510555879),25
POINT (12.579544208274633 55.70472786336384),61
POINT (12.579557339662664 55.682499173714284),42
POINT (12.579576459914438 55.697164786768816),61
POINT (12.579619081674084 55.68111323079119),48
POINT (12.57963361686067 55.705592433038674),30
POINT (12.579645001411897 55.70222770742451),16
POINT (12.57967870355733 55.708601437721455),14
POINT (12.579716624286329 55.70065450757313),49
POINT (12.579857121725206 55.70771702261427),14
POINT (12.579867678177578 55.664080452520054),19
POINT (12.579880130765343 55.698929331766855),67
POINT (12.57993328731746 55.66593055450494),52
POINT (12.579934086059579 55.669107609235844),42
POINT (12.57994776262635 55.66549402931761),85
POINT (12.579993993108047 55.703609809878216),47
POINT (12.580009460110999 55.7053038962597),56
POINT (12.58003761389025 55.66360808355676),27
POINT (12.580072753423552 55.697818493803666),43
POINT (12.580099614272122 55.70003231810365),35
POINT (12.580149402616996 55.70696868386141),34
POINT (12.580202365927383 55.70259129199797),20
POINT (12.580221141247147 55.682223184763046),14
POINT (12.580261786081401 55.701666395994074),31
POINT (12.580290534791411 55.66855276523553),33
POINT (12.580296025814958 55.68821824260729),15
POINT (12.580313207734381 55.69142647923725),38
POINT (12.580325567023555 55.68166278269749),63
POINT (12.580393794641045 55.68852599384346),1
POINT (12.580410975674805 55.707912484790796),32
POINT (12.580438349761279 55.69841698721874),36
POINT (12.580450167647705 55.70051001137086),13
POINT (12.58045402193555 55.66273725205857),25
POINT (12.580474233766338 55.70860411816555),34
POINT (12.580487534369729 55.70904640358942),33
POINT (12.580490800980336 55.680622031388936),26
POINT (12.580548973457923 55.66505943959694),37
POINT (12.580567058490862 55.68107113711157),18
POINT (12.58062070040293 55.663974072332074),21
POINT (12.580667221072943 55.69998548675175),29
POINT (12.580743518188006 55.70120512173173),26
POINT (12.580751067210795 55.692277099130955),32
POINT (12.580807861654911 55.70141853535471),32
POINT (12.58081302948872 55.69745777303369),68
POINT (12.580850347995286 55.702277794433876),32
POINT (12.580904741914518 55.66309711498967),20
POINT (12.580942297791315 55.69876252408919),33
POINT (12.580950953311595 55.70737656560132),33
POINT (12.581031333451877 55.68197019184258),48
POINT (12.581108553661055 55.69928467401837),70
POINT (12.58114927391035 55.70454953994713),19
POINT (12.581156893291183 55.664184713811004),21
POINT (12.581163534756017 55.706882773574456),41
POINT (12.581267763490265 55.700335231664184),14
POINT (12.581307772697802 55.66355831153575),29
POINT (12.581329918545094 55.68042196487563),35
POINT (12.581342811647039 55.66499764627771),26
POINT (12.581356218101927 55.69494255134024),46
POINT (12.581358946148702 55.70630686896899),21
POINT (12.581372295346673 55.6887471553309),4
POINT (12.581384170740204 55.70375784797334),22
POINT (12.581439820004018 55.69656932840049),31
POINT (12.581455655113785 55.66471957194119),20
POINT (12.581500594881806 55.70922194594418),21
POINT (12.581531566055416 55.708517832009576),17
POINT (12.581639626635386 55.68367036849194),30
POINT (12.581643558382822 55.68196301284528),79
POINT (12.58167880246048 55.70119819384744),21
POINT (12.581740221915817 55.696810730613414),21
POINT (12.581776834200864 55.682455455197214),24
POINT (12.581780114870153 55.70245832786878),8
POINT (12.581781709572482 55.695084243912866),49
POINT (12.581833806855803 55.70724105598587),20
POINT (12.58184470946497 55.698588530512225),55
POINT (12.581853850437994 55.692670297876155),8
POINT (12.582020250319951 55.692111393348725),22
POINT (12.582025604409248 55.68017067794873),80
POINT (12.58205211982777 55.69764128557978),38
POINT (12.582053484301088 55.67922051891793),68
POINT (12.582072888092139 55.68418072226835),30
POINT (12.582076786619966 55.664008368513116),19
POINT (12.582113569976954 55.68913467925579),5
POINT (12.58211852445901 55.68164948467731),135
POINT (12.582135962571835 55.67778520575221),57
POINT (12.58213831372281 55.70621897861154),42
POINT (12.582157882710291 55.66727318520029),16
POINT (12.58221046222394 55.708050575280616),30
POINT (12.582243605395808 55.678391624141426),30
POINT (12.582269621007308 55.67742081199017),54
POINT (12.58227753069522 55.70745286291416),7
POINT (12.582278607934725 55.69693044688393),25
POINT (12.582309927791888 55.70544959677014),42
POINT (12.582368370413258 55.70031613586297),20
POINT (12.582383925751772 55.70902097794387),20
POINT (12.58238961102729 55.687173195092846),28
POINT (12.582482905868792 55.70176312425845),13
POINT (12.582526609647928 55.70922388491688),16
POINT (12.582573972595243 55.663654992902),10
POINT (12.582663292785263 55.706642526369855),16
POINT (12.58267309086125 55.664203118946595),26
POINT (12.582682588042251 55.69788046580371),53
POINT (12.582737399784527 55.69424230717676),30
POINT (12.582741976881998 55.70469915398856),21
POINT (12.582742203880917 55.70233191400099),30
POINT (12.582872987598769 55.68290522140173),72
POINT (12.582886460109703 55.70374999667353),15
POINT (12.5830153219697 55.707329043863396),15
POINT (12.583049988541475 55.693177609044156),51
POINT (12.583051751450578 55.70302346550346),6
POINT (12.583066716481735 55.699686706255406),16
POINT (12.583074411513016 55.68798490163612),14
POINT (12.583077164406136 55.67761817900043),81
POINT (12.58308202517155 55.664803176080866),38
POINT (12.583095058339373 55.68087549389936),147
POINT (12.583129016681996 55.68541420572007),55
POINT (12.583132228605589 55.702310333922966),70
POINT (12.583134991790379 55.6984406781568),15
POINT (12.583149641102244 55.67587495792634),14
POINT (12.583187893670459 55.6706445700271),28
POINT (12.58319216496922 55.70638668092621),13
POINT (12.583207673161034 55.68465510390184),27
POINT (12.58321810447425 55.692499316774544),31
POINT (12.58322853949775 55.66407662606436),17
POINT (12.583323537536057 55.68977452662634),2
POINT (12.583331251923397 55.67534039897113),115
POINT (12.58333249475246 55.70866030175013),37
POINT (12.583341537946806 55.70802297218914),19
POINT (12.58337438960486 55.68698797767995),36
POINT (12.583392868920008 55.689605449381176),11
POINT (12.583434105554115 55.68170390276117),6
POINT (12.58347198616756 55.68359668224582),8
POINT (12.583486989793117 55.679532421510544),12
POINT (12.58353094362023 55.67825326374634),57
POINT (12.583569860188407 55.707884754423716),9
POINT (12.583627465370245 55.70081365594175),3
POINT (12.583670998605674 55.69666974972222),37
POINT (12.58367543128825 55.68868758545364),16
POINT (12.58368458072112 55.698694431690015),29
POINT (12.583748933002218 55.6665994280974),15
POINT (12.583757897514587 55.69404668649142),17
POINT (12.583783891216678 55.70384281796922),31
POINT (12.583866842068785 55.69799089350615),19
POINT (12.583899362782772 55.70560934679697),26
POINT (12.583902525785541 55.68230244495763),180
POINT (12.583925713101753 55.684393519253796),37
POINT (12.583978798251621 55.697137915245236),34
POINT (12.584053105904 55.70846146416718),15
POINT (12.584077675317689 55.680731976418436),78
POINT (12.584081545701492 55.684575850864704),87
POINT (12.584093189300862 55.67530817418375),116
POINT (12.584105148053359 55.68117125828449),29
POINT (12.584135334410753 55.686669176086426),22
POINT (12.584145718199867 55.7032443255445),9
POINT (12.584176199416952 55.70475701737482),32
POINT (12.584183738504553 55.688236173408285),9
POINT (12.584190636303193 55.69737808759736),21
POINT (12.584197095451872 55.69985725919382),6
POINT (12.584207002057106 55.687427749734624),18
POINT (12.584267525282218 55.70707445839436),40
POINT (12.58431517285599 55.70268690952384),18
POINT (12.58432190674611 55.70660413696617),24
POINT (12.58432955201718 55.68788584501181),13
POINT (12.584354931230376 55.67510261629357),194
POINT (12.584377610146786 55.67868046255023),26
POINT (12.584410374636693 55.6780931374639),44
POINT (12.584412079585885 55.6967506375987),23
POINT (12.58441824769132 55.68290211780709),224
POINT (12.584423694826908 55.6816051523005),8
POINT (12.584457995481639 55.6927493315472),7
POINT (12.584541721671057 55.68730115021712),15
POINT (12.58457076780608 55.689507482814),9
POINT (12.584614083134083 55.7076564080912),12
POINT (12.584632792844143 55.69699974313678),20
POINT (12.58464903238971 55.70628505761241),27
POINT (12.584681033892455 55.7005760703215),1
POINT (12.584683492302034 55.69891994713354),29
POINT (12.58470726151559 55.70806716701868),9
POINT (12.584848738711539 55.70187338557452),2
POINT (12.584860355134026 55.685557928735506),24
POINT (12.584890592952927 55.68526064839318),46
POINT (12.584908006048192 55.70523849727749),21
POINT (12.584912428693759 55.70859917821154),5
POINT (12.584953057293005 55.70306416249158),62
POINT (12.584974911568318 55.68880072745614),8
POINT (12.584986496154528 55.66607739539047),13
POINT (12.58501805216482 55.6983656068403),22
POINT (12.585033142162269 55.67838707720317),33
POINT (12.58503830805163 55.70410630086665),18
POINT (12.58510582117081 55.68367288461388),169
POINT (12.585106963262334 55.68772651979323),11
POINT (12.585125087684354 55.68937792717214),4
POINT (12.585149310243724 55.70456437390614),27
POINT (12.585193965246106 55.70358503246366),16
POINT (12.585211939673808 55.683027158546984),86
POINT (12.585296215401408 55.7067194827706),18
POINT (12.585306883164797 55.66532173215515),4
POINT (12.58532722151657 55.68565427133354),40
POINT (12.585332326055115 55.70303097070146),56
POINT (12.585338703528084 55.688225637384214),7
POINT (12.585431529912722 55.70576901365309),15
POINT (12.585434086240012 55.68709647527537),10
POINT (12.585438290205722 55.70818338722458),18
POINT (12.585444316084452 55.697486807126374),27
POINT (12.585463495914135 55.70010864007203),5
POINT (12.585499717576374 55.68626898781642),36
POINT (12.585500803766049 55.6977204806549),6
POINT (12.585506133143816 55.670428842330054),31
POINT (12.585561282282766 55.69877388611822),9
POINT (12.585574266051282 55.707247670592004),19
POINT (12.585602323058906 55.69000526552698),1
POINT (12.585606088554655 55.6966215060547),16
POINT (12.585665073146421 55.68457630152696),25
POINT (12.585940427528248 55.70912773429301),19
POINT (12.585946009297423 55.69302037500199),111
POINT (12.585958507813258 55.701386584883416),7
POINT (12.585967231829365 55.68319251707977),102
POINT (12.585979983607496 55.6877344990436),5
POINT (12.58600051901629 55.68450717840108),32
POINT (12.58602239179735 55.693703989150116),14
POINT (12.586044460342373 55.707541794410616),2
POINT (12.586067954762948 55.68224931690423),43
POINT (12.58620483117419 55.687405853375),11
POINT (12.58621438085864 55.68897635640401),10
POINT (12.586214740516843 55.70052408032636),10
POINT (12.586216328992245 55.67845745033338),72
POINT (12.586231398180812 55.68682211480015),18
POINT (12.586249080257243 55.68393570210213),9
POINT (12.5862567940759 55.69930343243342),14
POINT (12.586260049602442 55.70476511658222),7
POINT (12.586260675395051 55.688364460327655),4
POINT (12.586266256177344 55.708377273303),14
POINT (12.586320456256185 55.68607974351732),15
POINT (12.58634121858274 55.67092947511265),21
POINT (12.586343808170158 55.69419620192472),13
POINT (12.586416288700383 55.697727837396386),27
POINT (12.586422236756025 55.681175872540884),18
POINT (12.586506378277422 55.68372022816322),14
POINT (12.586517455466504 55.70537447019231),19
POINT (12.586525902286255 55.6965186123034),23
POINT (12.586530161141457 55.698579768936504),32
POINT (12.58653658329934 55.703818520916144),10
POINT (12.586566450881334 55.70788508843992),35
POINT (12.58659321738145 55.68287871501967),29
POINT (12.586632346774001 55.69700896443276),4
POINT (12.58671744021842 55.709350062092035),22
POINT (12.586725171963648 55.690232583236906),6
POINT (12.586730050403077 55.689583376858685),2
POINT (12.586745634169565 55.685582762294175),42
POINT (12.586760345701835 55.70322896522202),42
POINT (12.586786730010108 55.67202991249431),23
POINT (12.586791609781706 55.66636095677655),27
POINT (12.586811562541243 55.68672465726292),10
POINT (12.586817290407364 55.693680305699345),71
POINT (12.586826211870685 55.70601390745819),24
POINT (12.586875241781824 55.70340623723102),39
POINT (12.586880356633392 55.67018948908836),56
POINT (12.586899526793912 55.67672497609644),56
POINT (12.58692475383952 55.68721463603567),3
POINT (12.586937353444839 55.66369247273522),13
POINT (12.586977662816698 55.69804534549935),23
POINT (12.58699431587243 55.70699544633063),39
POINT (12.587050554074722 55.708759044465616),39
POINT (12.587088846276469 55.69789716720197),27
POINT (12.587128397632226 55.704322060568884),13
POINT (12.587128425523478 55.706774776111885),24
POINT (12.587130915148645 55.70031236308684),27
POINT (12.58715039049173 55.699153201633194),6
POINT (12.58716652771331 55.70168836430002),2
POINT (12.587193351493541 55.69446777847769),20
POINT (12.58726693049223 55.677732877042615),6
POINT (12.587329601154462 55.67826108760477),48
POINT (12.587346007431547 55.68846912676601),4
POINT (12.587347859195262 55.68736587439095),3
POINT (12.58735241001662 55.686350906431656),13
POINT (12.587398178334613 55.7048210000112),9
POINT (12.587470976162392 55.6817206801753),12
POINT (12.587488654590826 55.66659603643821),9
POINT (12.587528444456828 55.69969670650441),20
POINT (12.587578418456431 55.69856801412838),9
POINT (12.587604820234434 55.69058469063006),54
POINT (12.587620238579776 55.70094399867077),10
POINT (12.587645596716888 55.679248869648404),46
POINT (12.587650774048925 55.70598887796788),28
POINT (12.587659002296524 55.696425067684594),9
POINT (12.587669531355212 55.69505882633604),3
POINT (12.587782592266441 55.68655982648768),25
POINT (12.58779164021431 55.693492125332455),17
POINT (12.587822618468945 55.68795789703416),5
POINT (12.587833654060736 55.68433479841054),32
POINT (12.587833849850737 55.67747733076234),45
POINT (12.587880982230262 55.68348503890269),44
POINT (12.587885082333267 55.69433053290686),16
POINT (12.587897343874275 55.69716697756607),32
POINT (12.587938760320387 55.689143369672294),10
POINT (12.587955792544507 55.6870685435668),3
POINT (12.587998535028213 55.7039637148188),27
POINT (12.588019341707863 55.67049842575223),2
POINT (12.588032406168354 55.68948684865705),9
POINT (12.588042141086165 55.7096838590961),31
POINT (12.588042551897555 55.694999875449525),12
POINT (12.58805222398043 55.689865999459194),5
POINT (12.588061278239891 55.69893391608067),24
POINT (12.588091408046113 55.68598942307956),37
POINT (12.588133752941738 55.681863456446656),12
POINT (12.588136268561893 55.6887129082938),5
POINT (12.588137675603503 55.70845658396302),18
POINT (12.588160648956054 55.67203999906612),15
POINT (12.588272037210903 55.70706644154559),31
POINT (12.588272098599553 55.70916803813041),13
POINT (12.588336570350245 55.69820189194087),11
POINT (12.588337148414734 55.67875827170932),63
POINT (12.58834551191501 55.66996859202461),12
POINT (12.588351057166516 55.7044771617414),8
POINT (12.58838792793266 55.68015554334214),17
POINT (12.588398717359535 55.70280624665673),10
POINT (12.588404532605633 55.67324906740737),70
POINT (12.588502277440302 55.67686459464415),21
POINT (12.58850281149826 55.663735984353885),13
POINT (12.588556005570416 55.687482060434604),17
POINT (12.588627522769906 55.68786877496767),5
POINT (12.588631331142341 55.670877452331965),10
POINT (12.588638726243035 55.70744769620864),25
POINT (12.588662690457273 55.69572111653638),8
POINT (12.588665500611626 55.70694302247268),10
POINT (12.588680181776123 55.69846857502309),5
POINT (12.588694253766622 55.679565232477856),48
POINT (12.588710106033002 55.70119301857869),7
POINT (12.588735652746315 55.70064009243605),15
POINT (12.588742065619735 55.694651164140446),5
POINT (12.588767061310852 55.70218824722705),16
POINT (12.588788203323737 55.699258480103325),15
POINT (12.588811417617885 55.68618580333544),34
POINT (12.588844868559002 55.70359756153522),12
POINT (12.588896496654582 55.70839681676172),10
POINT (12.588923395642414 55.69418182357307),13
POINT (12.588946658033935 55.686931705715715),25
POINT (12.588958480969517 55.68565616332186),11
POINT (12.588988698051823 55.681206297812025),35
POINT (12.588996556752681 55.686657971865266),32
POINT (12.589021301492657 55.701231524508735),17
POINT (12.58906059709871 55.69658448243964),4
POINT (12.58912919899102 55.68816494846281),8
POINT (12.589138821727596 55.69000602044872),12
POINT (12.589146515047211 55.67179116146275),19
POINT (12.589177654552515 55.6703807745223),10
POINT (12.589180401651234 55.67920099753391),34
POINT (12.58925418098894 55.69735651239305),22
POINT (12.589262116804257 55.69035135180879),15
POINT (12.589289910889311 55.69843246221975),6
POINT (12.589301792790142 55.702371460839736),20
POINT (12.589309788213866 55.6775753697065),121
POINT (12.58932101740796 55.706151313153406),63
POINT (12.589371728518959 55.671331659449365),24
POINT (12.589386435354106 55.67835891528228),27
POINT (12.589407061407867 55.68753128120241),12
POINT (12.589424811145534 55.6893229798948),32
POINT (12.589429135344838 55.67824550002773),23
POINT (12.589467274006587 55.7074009351209),5
POINT (12.5894722941566 55.669610675794914),9
POINT (12.589477752345717 55.67288629824448),12
POINT (12.589509327787182 55.696012958292265),19
POINT (12.589554794792088 55.70007752705646),9
POINT (12.589580578703515 55.681886042060704),108
POINT (12.589640058438684 55.692422190226466),2
POINT (12.589665472304002 55.69529252584557),7
POINT (12.589690044697747 55.696863265876246),8
POINT (12.589694298302947 55.700780441600116),12
POINT (12.58969723773701 55.688759494214246),13
POINT (12.589718881374466 55.70351462384246),13
POINT (12.589728233009941 55.684520747443784),36
POINT (12.58986833821011 55.70142892184353),3
POINT (12.58986927830794 55.69476066788212),13
POINT (12.589870631223217 55.704008090241615),22
POINT (12.58987337524854 55.680907820562254),12
POINT (12.589897834578379 55.686767468774015),7
POINT (12.589919129867459 55.69957534743634),11
POINT (12.58995594178008 55.703020389638),16
POINT (12.589978999667567 55.66356887178389),2
POINT (12.589994227175646 55.67075105182088),15
POINT (12.590000789655651 55.68821063143588),55
POINT (12.590060525533362 55.68418989151035),23
POINT (12.590082927503353 55.67412121314642),24
POINT (12.590099625669362 55.67966464703614),15
POINT (12.590112666737257 55.700202330197705),13
POINT (12.590123011081982 55.66333110287939),4
POINT (12.59014633156821 55.671798794553226),39
POINT (12.590164020667103 55.68999425266818),26
POINT (12.590167362914139 55.67235314561136),30
POINT (12.590174051716026 55.67714800864342),24
POINT (12.590202224639624 55.6713770904765),23
POINT (12.590210767641882 55.68593604226355),19
POINT (12.590220455103141 55.681447788251106),55
POINT (12.590225055878605 55.70372984686221),17
POINT (12.590247158318348 55.69965806346142),13
POINT (12.590249151498398 55.68519789968012),33
POINT (12.590250108875221 55.68955027512098),22
POINT (12.59025945791987 55.69557558143303),13
POINT (12.59028704208352 55.68202843471642),79
POINT (12.590320883007248 55.698200743768005),1
POINT (12.590345603078813 55.69628458307746),6
POINT (12.590382988265755 55.704659248711806),19
POINT (12.590446835562853 55.67019272880204),22
POINT (12.590469283175818 55.69730210411986),11
POINT (12.590616805117948 55.67885827756184),75
POINT (12.590681622239426 55.67795432600318),71
POINT (12.59071073234206 55.68567519110255),20
POINT (12.590736425528974 55.69781579488035),11
POINT (12.590780994490318 55.673646953140825),19
POINT (12.59082395581307 55.70220111666585),4
POINT (12.590931230681509 55.69700358918598),17
POINT (12.590940486189801 55.68898783272333),21
POINT (12.590946681159519 55.6852916107381),1
POINT (12.59096366988438 55.67416691676163),14
POINT (12.590992305404972 55.670968730691584),25
POINT (12.590995414441577 55.68802917350901),43
POINT (12.591005924616915 55.69885186652515),3
POINT (12.591041311529814 55.7025990891548),25
POINT (12.5910886201195 55.67139401475365),19
POINT (12.591126829337888 55.68147139038072),66
POINT (12.591181065802601 55.68916513547098),11
POINT (12.591208849624392 55.70109859119598),5
POINT (12.591249349696698 55.67069378706735),52
POINT (12.591266229243415 55.68749419037504),30
POINT (12.591282359687453 55.67486044954967),30
POINT (12.591282440138237 55.688674816710915),48
POINT (12.591291149213115 55.700502410621006),13
POINT (12.591306382482859 55.69910690446751),8
POINT (12.591382287088821 55.69982760210139),20
POINT (12.591385562674043 55.69653032893414),31
POINT (12.591406433504742 55.68438095996296),51
POINT (12.591498375728628 55.67781970755515),23
POINT (12.59150812017673 55.67318179593347),99
POINT (12.591568063001471 55.678447511575804),75
POINT (12.591591546456748 55.698355570768385),8
POINT (12.59166601044591 55.69736302232866),5
POINT (12.591686684455624 55.687420314008655),23
POINT (12.591714646752594 55.672745734841534),81
POINT (12.591715140009393 55.67375796722109),6
POINT (12.591788519816083 55.671025752830154),60
POINT (12.591800507292673 55.6886638293165),27
POINT (12.591841333721044 55.6633583969668),2
POINT (12.59192197781732 55.682294216745554),60
POINT (12.591928669147727 55.67033997826828),21
POINT (12.591967833737712 55.67528815674646),28
POINT (12.591972523479123 55.68814892939362),19
POINT (12.591974532066196 55.68157854231185),56
POINT (12.59199704062405 55.68546669797365),7
POINT (12.592006994035359 55.686515097564644),18
POINT (12.592027724930457 55.66311434029551),2
POINT (12.592092596231005 55.68070588637005),22
POINT (12.592108333928838 55.67913069754382),16
POINT (12.592124397951352 55.682847205185155),71
POINT (12.59214751676914 55.67965804518914),30
POINT (12.592258508296494 55.67444232422082),40
