,1709
POINT (12.550044713731292 55.665348408060936),9
POINT (12.550049251423133 55.66622810698692),13
POINT (12.550093126842745 55.695646477607006),19
POINT (12.550150181213965 55.66749379969317),30
POINT (12.550285871385151 55.69475209044479),23
POINT (12.550412642623208 55.695492270334285),29
POINT (12.550461556687399 55.68710589521594),35
POINT (12.550509239532468 55.672086240700146),16
POINT (12.550630080948366 55.68558316823905),50
POINT (12.55064899690253 55.66461298700776),20
POINT (12.550698574662292 55.69431558167064),69
POINT (12.550834619822224 55.666718304280444),47
POINT (12.55092350365728 55.6859835868917),42
POINT (12.55098099761636 55.66609730186611),17
POINT (12.551155570287369 55.66818787104433),5
POINT (12.55115809029606 55.66918366183998),55
POINT (12.551207002167958 55.69660462689325),4
POINT (12.551306658145304 55.66696604269947),19
POINT (12.551332219512265 55.66866124707671),63
POINT (12.5514087758833 55.665847410027816),10
POINT (12.55145367306644 55.66795097881535),13
POINT (12.551519291645517 55.68711574399938),13
POINT (12.55159616180485 55.69262073651617),77
POINT (12.551609962792435 55.68668853968094),34
POINT (12.55164593807869 55.66530241426773),25
POINT (12.551682672763484 55.695402673546475),15
POINT (12.551682863949889 55.693859224818546),40
POINT (12.551697642775743 55.69664601296514),12
POINT (12.551827387522058 55.67218794916206),18
POINT (12.552002594355336 55.67136105505508),39
POINT (12.552012936039729 55.69475690139768),13
POINT (12.55208862142448 55.67048098534071),12
POINT (12.552094724972838 55.696083315841385),12
POINT (12.55216572891828 55.69748988018159),10
POINT (12.552170919945487 55.667481140250686),20
POINT (12.552290885346663 55.664604605268906),16
POINT (12.552360484606288 55.66580294657763),27
POINT (12.552419092487956 55.6666945342699),6
POINT (12.55248380249426 55.6933266438848),36
POINT (12.552575712117868 55.6709003477622),38
POINT (12.552646433476749 55.69508521310337),9
POINT (12.552648643913587 55.67172770758025),68
POINT (12.55269544431609 55.69752870759466),21
POINT (12.552708798428938 55.69409862383791),22
POINT (12.552768783639843 55.66943954779659),11
POINT (12.552807654653805 55.66641396464372),12
POINT (12.552815105786639 55.68615457521039),29
POINT (12.552981314517135 55.68714589733779),29
POINT (12.55302294514585 55.669004138866995),48
POINT (12.553065058451551 55.6966181941022),14
POINT (12.553081802427794 55.6945323001345),25
POINT (12.553094028009001 55.66809490401616),36
POINT (12.553115869489893 55.69829228351244),3
POINT (12.55313500233243 55.688853770828224),6
POINT (12.55316665443487 55.667385781089266),13
POINT (12.553207212921416 55.665226836264466),31
POINT (12.553425730468637 55.69554622291824),15
POINT (12.553517725206577 55.689546998515056),43
POINT (12.553527532264884 55.68846166861299),20
POINT (12.553578027800109 55.69254670186269),56
POINT (12.553586720955382 55.687308558089676),29
POINT (12.553593793502596 55.69832548650879),21
POINT (12.553600459571365 55.69390117108387),14
POINT (12.553613519164447 55.66681021609723),20
POINT (12.553625025852888 55.6660803622835),34
POINT (12.553895185924336 55.669443509562704),37
POINT (12.553917896859046 55.66739093703327),1
POINT (12.553924448729985 55.6890217108097),31
POINT (12.554021057630138 55.69473497643382),17
POINT (12.55420168153197 55.69014892070793),74
POINT (12.554256380154458 55.68485777703243),15
POINT (12.554270106067898 55.68605096290806),43
POINT (12.554286187601122 55.66904697079194),40
POINT (12.554307754115792 55.67109653511613),33
POINT (12.554311662446311 55.668242768411915),35
POINT (12.554325545312697 55.665563630544504),15
POINT (12.554328503728506 55.68212558877428),33
POINT (12.554339275452035 55.69106835399008),13
POINT (12.554348042678056 55.666548166909074),17
POINT (12.554367897895567 55.69231115085305),48
POINT (12.554374550617656 55.68257021180431),35
POINT (12.554441287083737 55.696700148267745),8
POINT (12.554465760911356 55.698063454641634),24
POINT (12.554489682138746 55.69716767028914),7
POINT (12.554607720881714 55.68989370299897),11
POINT (12.554657901358473 55.665873098485704),28
POINT (12.554679405529587 55.695754650057154),13
POINT (12.554699446611409 55.66492586403836),25
POINT (12.554728151179686 55.67138718213803),45
POINT (12.554742159323 55.66951322053688),14
POINT (12.5548135890372 55.69395016685604),7
POINT (12.554901266249015 55.688606381047954),29
POINT (12.554945658988423 55.68340418293578),42
POINT (12.554992937538959 55.6703025188799),25
POINT (12.554996952309063 55.66654032020678),38
POINT (12.55501498960096 55.683121637298385),23
POINT (12.555077231201444 55.6927115885504),17
POINT (12.555115875572879 55.693544552218206),4
POINT (12.555162638684573 55.68618867199518),8
POINT (12.555177206432965 55.67346751851568),26
POINT (12.555178540169926 55.681753235913526),15
POINT (12.555202382958294 55.68159305567384),25
POINT (12.55521586960399 55.69476117328735),18
POINT (12.555217571732019 55.66801496381721),2
POINT (12.555244962304432 55.66759155119667),13
POINT (12.555254320405105 55.69103245095011),44
POINT (12.55530840192631 55.66986446738464),55
POINT (12.555318554738646 55.665472812671254),48
POINT (12.555391358182534 55.69871213014598),3
POINT (12.555397341900319 55.67386912641818),13
POINT (12.555433066940816 55.698422349039944),17
POINT (12.555463237647995 55.689181353137045),31
POINT (12.555502723340062 55.669150002484734),50
POINT (12.555569053739426 55.666968265774656),29
POINT (12.555574153939078 55.665890185753064),37
POINT (12.55558160320977 55.682205626059655),38
POINT (12.555601680255165 55.67054318766514),29
POINT (12.555786857842635 55.700169420481096),2
POINT (12.555815709540363 55.68254933624246),25
POINT (12.555817716046278 55.68453884984522),17
POINT (12.555887811942402 55.69086853946739),17
POINT (12.55588853147193 55.6831208604956),36
POINT (12.555901860374338 55.696170777714215),27
POINT (12.555953663708099 55.69728973257009),13
POINT (12.556026066209979 55.6820636887889),72
POINT (12.556042993449191 55.692959624212484),29
POINT (12.556251386948071 55.685769934903654),7
POINT (12.556325764217723 55.666138647395535),23
POINT (12.556345431464159 55.68331835886635),5
POINT (12.556444711281745 55.6650749192428),36
POINT (12.556464208964277 55.66757581721232),36
POINT (12.556479083902332 55.67138020322483),84
POINT (12.556487874303143 55.69225439330453),3
POINT (12.556491100410758 55.69539172556189),23
POINT (12.556512089052287 55.67023107580618),21
POINT (12.556524219690026 55.685108240672136),23
POINT (12.556551916657133 55.69172325030167),39
POINT (12.55661925281603 55.691200980722755),37
POINT (12.556677743403533 55.6686919293914),36
POINT (12.5566789912867 55.68257126466639),22
POINT (12.5566967056133 55.68429066311128),37
POINT (12.556700278244602 55.69791044898089),6
POINT (12.556737929294343 55.67011788610296),46
POINT (12.556823980924833 55.68295806824195),25
POINT (12.556851679495278 55.66952452379175),34
POINT (12.556863429029676 55.674049582801125),60
POINT (12.556874576733748 55.673845919508885),66
POINT (12.55690215443675 55.671237850631314),67
POINT (12.556910836438428 55.68362710222548),14
POINT (12.556927456569458 55.67324956300098),37
POINT (12.55693366345061 55.698081861672215),3
POINT (12.556966208668554 55.667020688507066),50
POINT (12.557022896644854 55.68804252999145),151
POINT (12.55702487612149 55.697245820864396),36
POINT (12.557067197040329 55.70131383018354),11
POINT (12.557068571048525 55.66656561002542),12
POINT (12.557134303540268 55.69391621453699),18
POINT (12.557139539385254 55.665606508796664),30
POINT (12.557210166161159 55.68734606442146),37
POINT (12.557325137093816 55.69664643332794),6
POINT (12.557397500218197 55.668622237487966),42
POINT (12.557421032658729 55.66956375100271),30
POINT (12.557428637382055 55.6919490660131),52
POINT (12.557535146773478 55.672025888391296),29
POINT (12.557701803085541 55.7024237376701),3
POINT (12.557728512392297 55.66583955709867),19
POINT (12.557734348532946 55.68374387126576),15
POINT (12.557737914777658 55.68517955105527),33
POINT (12.557754748731243 55.68842239448621),29
POINT (12.557850691305676 55.66928436458057),20
POINT (12.557853548240928 55.68321890491566),9
POINT (12.557874584796176 55.677871751900454),14
POINT (12.557932262011754 55.67804450657107),4
POINT (12.557935552602181 55.69609753471379),14
POINT (12.55795256130439 55.68956735889455),8
POINT (12.558032878113195 55.70217694572914),11
POINT (12.558112036873142 55.670085833976195),35
POINT (12.558127629887384 55.6923462021398),44
