,key,count
0,4951,0
1,7171,0
2,4953,0
3,4262,0
4,8653,0
5,5390,0
6,5390,0
7,5390,0
8,4800,2
9,4800,4
10,4623,1
11,9510,0
12,8766,0
13,4930,0
14,4930,0
15,4930,0
16,4930,0
17,2000,8
18,9381,0
19,4990,1
20,9340,0
21,4243,0
22,6980,0
23,9352,0
24,1000 - 1499,0
25,1000 - 1499,0
26,1000 - 1499,0
27,1000 - 1499,1
28,1000 - 1499,2
29,7850,0
30,5882,0
31,8410,0
32,8751,0
33,9200,0
34,6854,0
35,2765,0
36,2450,2
37,4600,7
38,5854,0
39,7600,0
40,7600,0
41,6640,1
42,7770,0
43,9574,0
44,7980,0
45,5550,0
46,7540,0
47,6731,0
48,3670,1
49,4140,0
50,6623,0
51,8723,1
52,4070,0
53,5540,0
54,7550,0
55,9480,1
56,8654,0
57,4652,0
58,6650,1
59,4681,0
60,8732,1
61,6520,1
62,9490,0
63,8541,0
64,8541,1
65,9850,1
66,3200,0
67,6070,0
68,6360,0
69,8420,0
70,4970,0
71,4360,0
72,5270,1
73,9881,0
74,4941,0
75,6900,0
76,6900,3
77,7330,0
78,8400,0
79,8400,3
80,4550,0
81,4490,0
82,6340,1
83,6830,0
84,6830,0
85,6830,0
86,6893,0
87,9500,4
88,4895,0
89,4895,0
90,8860,0
91,7752,0
92,3390,0
93,3390,0
94,5380,0
95,6660,0
96,9260,0
97,5762,0
98,7700,1
99,6933,1
100,8355,0
101,7960,0
102,6093,0
103,5700,0
104,5700,0
105,5700,0
106,5700,0
107,5700,0
108,5700,0
109,5700,4
110,5700,5
111,6052,0
112,8543,1
113,4840,0
114,4735,0
115,2930,0
116,6862,0
117,6330,0
118,4581,0
119,8380,0
120,4470,0
121,5210,2
122,4261,0
123,2900,0
124,2960,4
125,4060,2
126,2200,11
127,7755,0
128,4350,0
129,4250,0
130,8783,0
131,5250,0
132,3700,1
133,6092,0
134,2942,0
135,4944,0
136,8000,5
137,8983,0
138,3600,2
139,3630,0
140,3630,1
141,7451,0
142,7451,0
143,5580,0
144,2300,0
145,2300,70
146,3100,0
147,8670,0
148,5970,0
149,5970,0
150,4792,0
151,4440,0
152,2665,0
153,5230,0
154,7730,0
155,4683,0
156,8762,1
157,3370,0
158,9690,0
159,7800,6
160,7130,0
161,5500,0
162,5500,3
163,3782,0
164,9640,0
165,3460,1
166,3760,0
167,3760,0
168,3760,0
169,3760,0
170,7160,0
171,8592,0
172,3320,0
173,7361,0
174,3550,0
175,4912,0
176,4912,0
177,4593,0
178,2600,8
179,3520,2
180,9530,0
181,8740,0
182,9310,0
183,3650,0
184,4682,0
185,4040,0
186,4040,0
187,8560,0
188,8370,2
189,8300,0
190,8300,0
191,8300,2
192,3450,0
193,5400,0
194,5400,0
195,5400,0
196,5400,0
197,8831,0
198,8361,0
199,8340,0
200,4780,0
201,4780,0
202,4780,0
203,8990,0
204,4873,0
205,4873,1
206,8586,0
207,5240,1
208,8722,2
209,3140,2
210,4130,0
211,9740,0
212,8781,0
213,4571,0
214,4891,1
215,5792,4
216,5874,0
217,5874,0
218,2730,1
219,7790,0
220,4673,0
221,6752,0
222,3070,0
223,9362,0
224,9300,0
225,6280,0
226,8530,0
227,4621,0
228,5871,1
229,4733,0
230,9220,0
231,7500,1
232,9210,0
233,7200,3
234,6600,0
235,6857,0
236,6857,0
237,7760,0
238,7760,0
239,9982,0
240,4920,0
241,2800,0
242,3120,4
243,6300,0
244,7400,9
245,7570,0
246,5471,0
247,7280,0
248,2720,21
249,6270,0
250,2630,3
251,2625,0
252,4420,2
253,8832,0
254,7950,0
255,6818,0
256,6541,0
257,9330,0
258,2850,0
259,7100,7
260,8220,6
261,5370,0
262,8240,2
263,3360,0
264,6710,3
265,8600,7
266,6690,0
267,2791,0
268,8752,0
269,5592,0
270,7190,2
271,8350,0
272,8660,0
273,6780,0
274,4672,0
275,9750,0
276,4622,0
277,7870,0
278,7870,0
279,5881,0
280,2635,1
281,1500 - 1799,6
282,6771,0
283,5200,1
284,3080,0
285,2950,0
286,5772,0
287,4850,0
288,2750,3
289,3310,0
290,8320,0
291,6510,0
292,9541,0
293,3250,0
294,7140,0
295,2400,0
296,5960,0
297,5960,0
298,5960,0
299,5960,0
300,7120,4
301,8721,1
302,5863,0
303,6851,0
304,9681,0
305,9681,0
306,4983,0
307,6430,0
308,6430,0
309,6852,0
310,4671,0
311,8472,0
312,2620,1
313,4736,0
314,4736,0
315,4736,0
316,4736,0
317,8620,0
318,4862,0
319,4862,0
320,4862,0
321,5290,0
322,4190,0
323,8641,0
324,5350,0
325,8471,0
326,8544,0
327,4174,0
328,5450,0
329,5450,0
330,5450,0
331,4771,0
332,4771,0
333,7840,0
334,2840,5
335,2980,0
336,9670,0
337,9670,0
338,9670,0
339,9670,0
340,2660,0
341,2660,0
342,4700,0
343,4700,8
344,5300,0
345,5300,1
346,5300,0
347,8310,0
348,8981,0
349,4390,0
350,8270,1
351,6534,0
352,4242,0
353,8830,0
354,8362,2
355,9560,0
356,9560,0
357,9560,0
358,9560,1
359,9830,0
360,3210,0
361,7990,0
362,7990,0
363,6630,0
364,6840,0
365,9370,0
366,5892,0
367,4532,0
368,4300,0
369,4300,0
370,4300,0
371,4300,1
372,5900,0
373,5900,0
374,5900,0
375,5900,0
376,5900,0
377,4030,0
378,4632,0
379,9460,0
380,6261,0
381,3730,0
382,9981,0
383,7323,1
384,9400,0
385,7680,0
386,9230,1
387,8585,0
388,5560,0
389,3490,1
390,7620,0
391,4370,0
392,6700,7
393,2860,2
394,6973,0
