FID,id,centroids
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4492,13279,POINT (12.57462819768873 55.66481191931354)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4491,12970,POINT (12.57629092170322 55.66685707066062)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4490,104,POINT (12.58975468141346 55.62562710975543)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-448f,12987,POINT (12.57391076079766 55.67317151895816)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-448e,13323,POINT (12.58994323600032 55.66580319736725)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-448d,13437,POINT (12.56231311621273 55.66933262930243)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-448c,13361,POINT (12.56799259092145 55.67085605731143)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-448b,12959,POINT (12.55122315785025 55.67168700277458)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-448a,13277,POINT (12.57681511728343 55.66463999835688)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4489,12554,POINT (12.5528578938934 55.66847571678375)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4488,12803,POINT (12.55559762882753 55.67316577417193)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4487,12445,POINT (12.5480857505754 55.66947217264434)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4486,12543,POINT (12.55357538359283 55.66770082288717)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4485,12729,POINT (12.55539808711031 55.67180717625234)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4484,15168,POINT (12.60089593517634 55.63835187432906)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4483,24365,POINT (12.60444660475599 55.66490925161669)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4482,14202,POINT (12.59098276282131 55.67120349535007)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4481,165193,POINT (12.54388021529456 55.66808259370787)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4480,13505,POINT (12.57264210717134 55.66988102932502)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-447f,13624,POINT (12.56023149107751 55.67167238253251)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-447e,13660,POINT (12.55750261646109 55.6731593713636)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-447d,13971,POINT (12.57979294532109 55.67319943282295)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-447c,13982,POINT (12.57707065154077 55.67361510217883)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-447b,13840,POINT (12.57201532329207 55.672596133009)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-447a,13516,POINT (12.56848598477549 55.66935519036457)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4479,14118,POINT (12.5871721846899 55.67235388941912)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4478,25353,POINT (12.59365674858075 55.66777011534863)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4477,13655,POINT (12.55720923932294 55.67341814451903)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4476,17540,POINT (12.6051083168628 55.64775909113862)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4475,17646,POINT (12.60035566392952 55.6453977089306)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4474,17589,POINT (12.59897190110074 55.64570465623982)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4473,17396,POINT (12.59482511979276 55.64877345416375)
